Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Energy_Rec,Energy_Rec,EngineCombEff,Energy recovery destruction efficiency,99,%,,,,,,,[10],
Energy_Rec,Energy_Rec,convEff,combustion eff,0.365,None,,,,,,,[10],
Flare,Flare,NMOC_Conc,Mandated NMOC cuton concentration,4000,ppmv,,,,,,,[10],
Flare,Flare,NMOC_Conc_actual,Actual NMOC concentration for cutoff,595,ppmv,,,,,,,[10],
Flare,Flare,NMOC_MW,NMOC molecular weight,86.18,g/mol,,,,,,,[10],
Flare,Flare,NMOC_Cutoff,NMOC cutoff,34,Mg/yr,,,,,,,[10],
Flare,Flare,Temp,Temperature to revise concentration,20,C,,,,,,,[10],
Flare,Flare,MinYr,Flare min time on,15,years,,,,,,,[10],
Flare,Flare,TimeReq,Number of years flare must operate after operations cease,15,years,,,,,,,[10],
Flare,Flare,Flow_cutoff,Flare runs until below  gas flow rate,0,0/1,,,,,,,[10],
Flare,Flare,Flow_req,Minimum allowable gas flow rate ,350,cfm,,,,,,,[10],
Flare,Flare,FlareCombEff,Flare methane destruction efficiency,99.9,%,,,,,,,[10],
LFG Parameters,LF_gas,blwrPRR,Blower power rating requirement,60.85,scfm/hp,,,,,,,[10],
LFG Parameters,LF_gas,blwrPRRm3,Blower power rating requirement,1215470.3,m3/yr/kW,,,,,,,[10],
LFG Parameters,LF_gas,blwrPerLoad,Blower load,75,%,,,,,,,[10],
LFG Parameters,LF_gas,blwrEff,Blower efficiency,90,kW-out/kWh-in,,,,,,,[10],
Oxidation Inputs,Ox,ox_nocol,Oxidation rate without collection,10,%,,,,,,,[10],
Oxidation Inputs,Ox,ox_col,Oxidation rate with collection,20,%,,,,,,,[10],
Oxidation Inputs,Ox,ox_fincov,Oxidation rate after final cover,35,%,,,,,,,[10],
Leachate,Leachate,is_bioreactor,Is the landfill bioreactor?  (recirulate the leachte),0,0/1,,,,,,,[10],
Leachate,Leachate,frac_recirc,Fraction of collected leachate that is reciculated,0.8,fraction,,,,,,,[10],
Leachate,Leachate,Lcht_Col_Ef,Collection efficiency of leachate,0.991,fraction,,,,,,,[10],
Leachate,Leachate,LF_time1,time after waste placement that recirculation or treatment begins,0,years,,,,,,,[10],
Leachate,Leachate,LF_time2,time after waste placement starts that leachate recirculation discontinued,6,years,,,,,,,[10],
Leachate,Leachate,LF_time3,time after waste placement that leachate collection stops,101,years,,,,,,,[10],
Leachate,Leachate,precip_arid,Precipitation for aird region (Used for k<=0.03),500,mm/yr,,,,,,,[10],<51 cm/yr
Leachate,Leachate,precip_mod,Precipitation for moderate region (Used for k<=0.06),1000,mm/yr,,,,,,,[10],51-102 cm/yr
Leachate,Leachate,precip_wet,Precipitation for wet region (Used for k>0.06),1400,mm/yr,,,,,,,[10],>102 cm/yr
Leachate,Leachate,precip_bio,Precipitation for bioreactor,1000,mm/yr,,,,,,,[10],
Leachate,Leachate,prep_leach_init,Fraction of precipitation that becomes leachate,0.2,fraction,,,,,,,[10],Before installing the intermediate cover
Leachate,Leachate,prep_leach_red,Fraction of precipitation that becomes leachate,0.13,fraction,,,,,,,[10],mix of intermediate cover & final cover
Leachate,Leachate,prep_leach_f,Fraction of precipitation that becomes leachate,0.004,fraction,,,,,,,[10],When tha whole landfill is under final cover
Leachate,Leachate,dis_POTW,Distance to POTW,40,km,,,,,,,[10],
Leachate,Leachate,pay_leach,Actual payload of trucks delivering leachate,35,Mg,,,,,,,[10],
Leachate,Leachate,er_leach,Empty return of trucks delivering leachate,1,0/1,,,,,,,[10],
Leachate,Leachate,LF_eff_PO4,PO4 REMOVAL EFFICIENCY,21.6,%,,,,,,,[10],
Leachate,Leachate,LF_eff_TSS,TSS REMOVAL EFFICIENCY,96,%,,,,,,,[10],
Leachate,Leachate,LF_eff_mtls,metals REMOVAL EFFICIENCY,85,%,,,,,,,[10],
Leachate,Leachate,LF_eff_orgncs,trace organics REMOVAL EFFICIENCY,0,%,,,,,,,[10],
BOD,BOD,LF_lcht_ec,electric energy consumption,1.00107,kWh / kg BOD removed,,,,,,,[10],
BOD,BOD,LF_sldg_per_BOD,sludge generated per BOD removed,0.5,kg sludge / kg BOD,,,,,,,[10],
BOD,BOD,LF_CO2_per_BOD,Mass CO2 (biomass) generated per mass BOD removed,3.6,kg CO2 / kg BOD ,,,,,,,[10],
LEACHATE PUMPING,lcht_pump,leachAirPerLeach,Volume of free air required per volume of leachate pumped,6,STD L air/L leachate,,,,,,,[10],
LEACHATE PUMPING,lcht_pump,leachCompPowReq,Compressor power requirements,4,cfm/hp,,,,,,,[10],
LEACHATE PUMPING,lcht_pump,leachCompLoad,Compressor load percent,75,%,,,,,,,[10],
LEACHATE PUMPING,lcht_pump,leachEff,Compressor motor efficiency,90,%,,,,,,,[10],
Operational_Cost,Operational_Cost,Yard_Trimmings_Leaves,Operation cost of Yard_Trimmings_Leaves,15.31,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Yard_Trimmings_Grass,Operation cost of Yard_Trimmings_Grass,14.84,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Yard_Trimmings_Branches,Operation cost of Yard_Trimmings_Branches,17.13,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Food_Waste_Vegetable,Operation cost of Food_Waste_Vegetable,19.21,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Food_Waste_Non_Vegetable,Operation cost of Food_Waste_Non_Vegetable,25.65,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Wood,Operation cost of Wood,12.84,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Wood_Other,Operation cost of Wood_Other,12.76,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Textiles,Operation cost of Textiles,18.86,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Rubber_Leather,Operation cost of Rubber_Leather,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Newsprint,Operation cost of Newsprint,17.44,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Corr_Cardboard,Operation cost of Corr_Cardboard,26.05,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Office_Paper,Operation cost of Office_Paper,32.85,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Magazines,Operation cost of Magazines,18.71,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Third_Class_Mail,Operation cost of Third_Class_Mail,18.4,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Folding_Containers,Operation cost of Folding_Containers,22.61,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Paper_Bags,Operation cost of Paper_Bags,24.85,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Mixed_Paper,Operation cost of Mixed_Paper,22.64,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Paper_Non_recyclable,Operation cost of Paper_Non_recyclable,21.53,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,HDPE_Translucent_Containers,Operation cost of HDPE_Translucent_Containers,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,HDPE_Pigmented_Containers,Operation cost of HDPE_Pigmented_Containers,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,PET_Containers,Operation cost of PET_Containers,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Plastic_Other_1_Polypropylene,Operation cost of Plastic_Other_1_Polypropylene,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Plastic_Other_2,Operation cost of Plastic_Other_2,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Mixed_Plastic,Operation cost of Mixed_Plastic,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Plastic_Film,Operation cost of Plastic_Film,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Plastic_Non_Recyclable,Operation cost of Plastic_Non_Recyclable,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Ferrous_Cans,Operation cost of Ferrous_Cans,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Ferrous_Metal_Other,Operation cost of Ferrous_Metal_Other,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Aluminum_Cans,Operation cost of Aluminum_Cans,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Aluminum_Foil,Operation cost of Aluminum_Foil,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Aluminum_Other,Operation cost of Aluminum_Other,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Ferrous_Non_recyclable,Operation cost of Ferrous_Non_recyclable,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Al_Non_recyclable,Operation cost of Al_Non_recyclable,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Glass_Brown,Operation cost of Glass_Brown,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Glass_Green,Operation cost of Glass_Green,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Glass_Clear,Operation cost of Glass_Clear,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Mixed_Glass,Operation cost of Mixed_Glass,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Glass_Non_recyclable,Operation cost of Glass_Non_recyclable,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Misc_Organic,Operation cost of Misc_Organic,22.49,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Misc_Inorganic,Operation cost of Misc_Inorganic,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,E_waste,Operation cost of E_waste,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Bottom_Ash,Operation cost of Bottom_Ash,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Fly_Ash,Operation cost of Fly_Ash,11.77,$/Mg,,,,,,,[2],
Operational_Cost,Operational_Cost,Diapers_and_sanitary_products,Operation cost of Diapers_and_sanitary_products,31.21,$/Mg,,,,,,,[2],
