Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Degradation Parameters,Deg_Param,pNasNH3,Proportion of emitted N emitted as NH3,0.04,None,,,,,,,[0],
Degradation Parameters,Deg_Param,pNasN2O,Proportion of emitted N emitted as N2O,0.004,None,,,,,,,[0],
Degradation Parameters,Deg_Param,bfCH4re,Biofilter CH4 removal efficiency,0.15,None,,,,,,,[0],
Degradation Parameters,Deg_Param,bfNH3re,Biofilter NH3 removal efficiency,48,%,,,,,,,[0],
Degradation Parameters,Deg_Param,bfN2Ore,Biofilter N2O removal efficiency,0,%,,,,,,,[0],
Degradation Parameters,Deg_Param,preNH3toNOx,Proportion of removed NH3 that becomes NOx,1,None,,,,,,,[0],
Degradation Parameters,Deg_Param,preNH3toN2O,Proportion of removed NH3 that becomes Nitrous Oxide,0,None,,,,,,,[0],
Degradation Parameters,Deg_Param,bfVOCre,Biofilter VOC removal efficiency,18,%,,,,,,,[0],
Material_Properties,Material_Properties,densFC,Density of final compost,700,kg/m3,,,,,,,[0],
Land_app,Land_app,distLand,Distance to application site,20,km,,,,,,,[0],
Land_app,Land_app,land_payload,Actual payload of truck used to haul soil amendment,7.3,Mg,,,,,,,[0],
Odor_Cont,Odor_Cont,Moc,OC blower power required per air flow rate,0,kW/cmm,,,,,,,[0],
Odor_Cont,Odor_Cont,ocReqAF,Odor control air flow required,0,m3/Mgpd,,,,,,,[0],
Vaccum_sys,Vaccum_sys,vacDiesFac,Diesel use,0.22,L/Mg,,,,,,,[0],
Vaccum_sys,Vaccum_sys,vacElecFac,Vacuum electricity (diesel by default),0,kWh/Mg,,,,,,,[0],
Screen,Screen,Mtr,Energy required per weight of post-screened material,0.9,kWh/Mg,,,,,,,[0],
Curing,Curing,Ftc,Frequency of turning during curing phase,0.14,1/day,,,,,,,[0],
Loader,Loader,hpfel,Front end loader energy required per weight flow of material,0.336,kW/Mgd,,,,,,,[0],
Loader,Loader,Mffel,Front end loader specific fuel consumption,0.26,L/kWh,,,,,,,[0],
Office,Office,Mta,Office Area required per ton per day of material,1.7,m2/Mgpd,,,,,,,[0],
Office,Office,Mea,Energy required to power an office,290,kWh/m2-yr,,,,,,,[0],
Compost_use,Compost_use,choice_BU,Offset Beneficial Use of Compost? (0=no; 1=yes),1,None,,,,,,,[0],
Compost_use,Compost_use,peatOff,Soil amendment offset peat (1) or no (0),1,None,,,,,,,[0],
Compost_use,Compost_use,fertOff,Soil amendment offset fertilizer (1) or no (0),1,None,,,,,,,[0],
AC_Aeration,AC_Aeration,Aeff,Motor efficiency,0,kW-in/kW-out,,,,,,,[0],
AC_Aeration,AC_Aeration,Bhp,Blower power,0,kW,,,,,,,[0],
AC_Aeration,AC_Aeration,Breq,Blowers required per dry mass compost.,0,1/Mg,,,,,,,[0],
AC_Aeration,AC_Aeration,blPropON,Proportion of the time that blowers are on,0,None,,,,,,,[0],
AC_Turning,AC_Turning,Mwta,Windrow turner power rating,0.24,kWh/Mg,,,,,,,[0],
AC_Turning,AC_Turning,Mwfa,The fuel consumption of a windrow turner,0.127,L/kWh,,,,,,,[0],
AC_Turning,AC_Turning,Fta,Turning frequency,0.33,1/days,,,,,,,[0],
Shredding,Shredding,Mtgp,Grinder power rating.,10.6,kWh/Mg,,,,,,,[0],
Shredding,Shredding,Mtgf,Grinder fuel consumption,0.25,L/kWh,,,,,,,[0],
Vessel,Vessel,Minv,Vessel energy use per weight of material,0,kWh/Mg,,,,,,,[0],
Economic_parameters,Economic_parameters,lifetime,Facility useful life,20,years,,,,,,,[0],
Economic_parameters,Economic_parameters,Inerest_rate,Annual Interest Rate,0.035,-,,,,,,,[0],
Economic_parameters,Economic_parameters,Unit_capital_cost,Capital Cost,49.75264423,$/design Mg per year,,,,,,,[0],
Operational_Cost,Operational_Cost,Yard_Trimmings_Leaves,Operation cost of Yard_Trimmings_Leaves,15.73874462,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Yard_Trimmings_Grass,Operation cost of Yard_Trimmings_Grass,24.14271134,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Yard_Trimmings_Branches,Operation cost of Yard_Trimmings_Branches,25.45564753,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Food_Waste_Vegetable,Operation cost of Food_Waste_Vegetable,23.97137735,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Food_Waste_Non_Vegetable,Operation cost of Food_Waste_Non_Vegetable,26.98523095,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Wood,Operation cost of Wood,22.88273715,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Wood_Other,Operation cost of Wood_Other,22.88273715,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Textiles,Operation cost of Textiles,18.68685015,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Rubber_Leather,Operation cost of Rubber_Leather,17.84291244,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Newsprint,Operation cost of Newsprint,19.65232011,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Corr_Cardboard,Operation cost of Corr_Cardboard,19.65557187,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Office_Paper,Operation cost of Office_Paper,18.8446273,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Magazines,Operation cost of Magazines,19.07122226,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Third_Class_Mail,Operation cost of Third_Class_Mail,19.40399897,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Folding_Containers,Operation cost of Folding_Containers,19.7879172,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Paper_Bags,Operation cost of Paper_Bags,19.7879172,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Mixed_Paper,Operation cost of Mixed_Paper,19.644145,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Paper_Non_recyclable,Operation cost of Paper_Non_recyclable,19.85232453,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,HDPE_Translucent_Containers,Operation cost of HDPE_Translucent_Containers,21.77677515,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,HDPE_Pigmented_Containers,Operation cost of HDPE_Pigmented_Containers,21.77677515,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,PET_Containers,Operation cost of PET_Containers,21.77677515,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Plastic_Other_1_Polypropylene,Operation cost of Plastic_Other_1_Polypropylene,21.77008532,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Plastic_Other_2,Operation cost of Plastic_Other_2,21.76706979,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Mixed_Plastic,Operation cost of Mixed_Plastic,21.77452644,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Plastic_Film,Operation cost of Plastic_Film,22.22939215,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Plastic_Non_Recyclable,Operation cost of Plastic_Non_Recyclable,22.22066733,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Ferrous_Cans,Operation cost of Ferrous_Cans,21.57179657,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Ferrous_Metal_Other,Operation cost of Ferrous_Metal_Other,21.57179657,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Aluminum_Cans,Operation cost of Aluminum_Cans,21.56065399,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Aluminum_Foil,Operation cost of Aluminum_Foil,21.78455056,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Aluminum_Other,Operation cost of Aluminum_Other,21.58472014,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Ferrous_Non_recyclable,Operation cost of Ferrous_Non_recyclable,21.57179657,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Al_Non_recyclable,Operation cost of Al_Non_recyclable,21.58472014,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Glass_Brown,Operation cost of Glass_Brown,21.55318755,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Glass_Green,Operation cost of Glass_Green,21.54953424,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Glass_Clear,Operation cost of Glass_Clear,21.56905659,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Mixed_Glass,Operation cost of Mixed_Glass,21.56183561,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Glass_Non_recyclable,Operation cost of Glass_Non_recyclable,21.56532638,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Misc_Organic,Operation cost of Misc_Organic,20.06911015,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Misc_Inorganic,Operation cost of Misc_Inorganic,10.70432299,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,E_waste,Operation cost of E_waste,21.54170247,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Bottom_Ash,Operation cost of Bottom_Ash,4.117007374,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Fly_Ash,Operation cost of Fly_Ash,4.117007374,$/Mg,,,,,,,[0],
Operational_Cost,Operational_Cost,Diapers_and_sanitary_products,Operation cost of Diapers_and_sanitary_products,11.27429112,$/Mg,,,,,,,[0],
