Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
DropOff,DropOff,FREQdos,Frequency of trips to drop-off site,2,trips/month,,,,,,,,
DropOff,DropOff,DED,Fraction of trips to drop-off site that are dedicated trips ,0.5,fraction,,,,,,,,
DropOff,DropOff,dropoff_MPG,Drop-off vehicle fuel efficiency,20,miles/gal,,,,,,,,
LCC,LCC,Discount_rate,Discount rate,0.035,-,,,,,,,,
LCC,LCC,a,Fringe benefit rate,0.46,(fringe benefit $/wage$) ,,,,,,,"[5, 12]",
LCC,LCC,d,Other expenses rate,12114,($/worker-year),,,,,,,[5],
LCC,LCC,e,Administrative rate,0.12,(admin. $/capital & op.cost $),,,,,,,[5],
LCC,LCC,Wa,Hourly wage for a collector,12.96,($/hour-person),,,,,,,"[5, 12]",
LCC,LCC,Wd,Hourly wage for a driver,15,($/hour-person),,,,,,,"[5, 12]",
LCC,LCC,Pt,Unit price of a vehicle,240000,($/vehicle),,,,,,,[5],
LCC,LCC,c,Vehicle operation and maint. Cost,40000,($/vehicle),,,,,,,[5],
LCC,LCC,Pb,Unit price of a container  ,0,$/container,,,,,,,[5],Enter 0 if bins are  purchased by  homeowners and NOT PROVIDED by the municipality or waste collection organization.
HS,HS,RWC,Number of commercial locations at one stop,1,commercial locations/stop,,,,,,,,
HS,HS,SSR,Number of commercial locations at one stop,1,commercial locations/stop,,,,,,,,
HS,HS,DSR,Number of commercial locations at one stop,1,commercial locations/stop,,,,,,,,
HS,HS,MSR,Number of commercial locations at one stop,1,commercial locations/stop,,,,,,,,
HS,HS,SSYW,Number of commercial locations at one stop,1,commercial locations/stop,,,,,,,,
HS,HS,SSO,Number of commercial locations at one stop,1,commercial locations/stop,,,,,,,,
HS,HS,ORG,Number of commercial locations at one stop,1,commercial locations/stop,,,,,,,,
HS,HS,DryRes,Number of commercial locations at one stop,1,commercial locations/stop,,,,,,,,
HS,HS,REC,Number of commercial locations at one stop,1,commercial locations/stop,,,,,,,,
HS,HS,WetRes,Number of commercial locations at one stop,1,commercial locations/stop,,,,,,,,
Prtcp,Prtcp,RWC,Participation rate,1,fraction of stops,,,,,,,,
Prtcp,Prtcp,SSR,Participation rate,0.9,fraction of stops,,,,,,,,
Prtcp,Prtcp,DSR,Participation rate,0.9,fraction of stops,,,,,,,,
Prtcp,Prtcp,MSR,Participation rate,0.9,fraction of stops,,,,,,,,
Prtcp,Prtcp,SSYW,Participation rate,0.9,fraction of stops,,,,,,,,
Prtcp,Prtcp,SSO,Participation rate,0.9,fraction of stops,,,,,,,,
Prtcp,Prtcp,ORG,Participation rate,1,fraction of stops,,,,,,,,
Prtcp,Prtcp,DryRes,Participation rate,1,fraction of stops,,,,,,,,
Prtcp,Prtcp,REC,Participation rate,1,fraction of stops,,,,,,,,
Prtcp,Prtcp,WetRes,Participation rate,1,fraction of stops,,,,,,,,
Prtcp,Prtcp,MSRDO,Participation rate,0.9,fraction of stops,,,,,,,,
Fr,Fr,RWC,Collection frequency,1,1 / week,,,,,,,,
Fr,Fr,SSR,Collection frequency,1,1 / week,,,,,,,,
Fr,Fr,DSR,Collection frequency,1,1 / week,,,,,,,,
Fr,Fr,MSR,Collection frequency,1,1 / week,,,,,,,,
Fr,Fr,SSYW,Collection frequency,1,1 / week,,,,,,,,
Fr,Fr,SSO,Collection frequency,1,1 / week,,,,,,,,
Fr,Fr,ORG,Collection frequency,1,1 / week,,,,,,,,
Fr,Fr,REC,Collection frequency,1,1 / week,,,,,,,,
TL,TL,RWC,Loading time at one service stop,5,min/stop,,,,,,,,
TL,TL,SSR,Loading time at one service stop,5,min/stop,,,,,,,,
TL,TL,DSR,Loading time at one service stop,5,min/stop,,,,,,,,
TL,TL,MSR,Loading time at one service stop,5,min/stop,,,,,,,,
TL,TL,SSYW,Loading time at one service stop,5,min/stop,,,,,,,,
TL,TL,SSO,Loading time at one service stop,5,min/stop,,,,,,,,
TL,TL,ORG,Loading time at one service stop,5,min/stop,,,,,,,,
TL,TL,REC,Loading time at one service stop,5,min/stop,,,,,,,,
S,S,RWC,Time to unload at disposal facility,16,min/trip,,,,,,,,
S,S,SSR,Time to unload at disposal facility,16,min/trip,,,,,,,,
S,S,DSR,Time to unload at disposal facility,20,min/trip,,,,,,,,
S,S,MSR,Time to unload at disposal facility,20,min/trip,,,,,,,,
S,S,SSYW,Time to unload at disposal facility,16,min/trip,,,,,,,,
S,S,SSO,Time to unload at disposal facility,16,min/trip,,,,,,,,
S,S,ORG,Time to unload at disposal facility,32,min/trip,,,,,,,,
S,S,REC,Time to unload at disposal facility,32,min/trip,,,,,,,,
Nw,Nw,RWC,Number of additional collectors per vehicle (If driver doesn't work as collector),1,perrson/vehicle,,,,,,,,
Nw,Nw,SSR,Number of additional collectors per vehicle (If driver doesn't work as collector),0,perrson/vehicle,,,,,,,,
Nw,Nw,DSR,Number of additional collectors per vehicle (If driver doesn't work as collector),1,perrson/vehicle,,,,,,,,
Nw,Nw,MSR,Number of additional collectors per vehicle (If driver doesn't work as collector),1,perrson/vehicle,,,,,,,,
Nw,Nw,SSYW,Number of additional collectors per vehicle (If driver doesn't work as collector),0,perrson/vehicle,,,,,,,,
Nw,Nw,SSO,Number of additional collectors per vehicle (If driver doesn't work as collector),0,perrson/vehicle,,,,,,,,
Nw,Nw,ORG,Number of additional collectors per vehicle (If driver doesn't work as collector),1,perrson/vehicle,,,,,,,,
Nw,Nw,REC,Number of additional collectors per vehicle (If driver doesn't work as collector),1,perrson/vehicle,,,,,,,,
den_asmd,den_asmd,RWC,Assumed compartment compaction density,700,lb/yd3,,,,,,,,
den_asmd,den_asmd,SSR,Assumed compartment compaction density,388,lb/yd3,,,,,,,,
den_asmd,den_asmd,DSR,Assumed compartment compaction density,388,lb/yd3,,,,,,,,
den_asmd,den_asmd,MSR,Assumed compartment compaction density,388,lb/yd3,,,,,,,,
den_asmd,den_asmd,SSYW,Assumed compartment compaction density,300,lb/yd3,,,,,,,,
den_asmd,den_asmd,SSO,Assumed compartment compaction density,300,lb/yd3,,,,,,,,
den_asmd,den_asmd,ORG,Assumed compartment compaction density,700,lb/yd3,,,,,,,,
den_asmd,den_asmd,REC,Assumed compartment compaction density,700,lb/yd3,,,,,,,,
Rb,Rb,RWC,Number of containers for each location ,1,containers/location,,,,,,,,
Rb,Rb,SSR,Number of containers for each location ,1,containers/location,,,,,,,,
Rb,Rb,DSR,Number of containers for each location ,2,containers/location,,,,,,,,
Rb,Rb,MSR,Number of containers for each location ,3,containers/location,,,,,,,,
Rb,Rb,SSYW,Number of containers for each location ,1,containers/location,,,,,,,,
Rb,Rb,SSO,Number of containers for each location ,1,containers/location,,,,,,,,
Rb,Rb,ORG,Number of containers for each location ,2,containers/location,,,,,,,,
Rb,Rb,REC,Number of containers for each location ,2,containers/location,,,,,,,,
